Date,VALE3.SA,PETR4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,VALE3.SA_Peso,PETR4.SA_Peso,PGCO34.SA_Peso,AAPL34.SA_Peso,AMZO34.SA_Peso
2014-12-01,12.100375175476074,3.945980310440063,12.488458633422852,3.2947564125061035,2.142750024795532,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-02,11.739497184753418,3.897937059402466,12.857280731201172,3.3393547534942627,2.0952749252319336,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-03,12.001955032348633,4.07089376449585,12.857280731201172,3.2992160320281982,2.029325008392334,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-04,11.848855018615724,3.929966688156128,12.679919242858888,3.3839540481567383,2.029325008392334,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-05,11.963680267333984,3.901139736175537,12.679919242858888,3.3783793449401855,2.021699905395508,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-08,11.580926895141602,3.686545610427856,12.679919242858888,3.2947564125061035,2.005000114440918,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-09,11.318473815917969,3.6577188968658447,12.679919242858888,3.317055940628052,2.005000114440918,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-10,10.89744472503662,3.48476243019104,12.908811569213867,3.311481475830078,2.009424924850464,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-11,10.59124755859375,3.4046897888183594,12.908811569213867,3.372804880142212,2.009424924850464,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-12,10.339723587036133,3.2637617588043213,12.908811569213867,3.372804880142212,2.009424924850464,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-15,10.219432830810549,2.9018330574035645,13.073145866394045,3.2847211360931396,2.009424924850464,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-16,10.580310821533203,3.0011229515075684,13.472887992858888,3.2891812324523926,4.018849849700928,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-17,10.777153968811035,3.0331521034240723,13.472887992858888,3.2891812324523926,4.018849849700928,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-18,10.913848876953123,3.0651814937591553,13.472887992858888,3.3426997661590576,4.018849849700928,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-19,11.794174194335938,3.1484570503234863,13.472887992858888,3.30590558052063,4.018849849700928,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-22,11.684821128845217,3.321413278579712,13.432214736938477,3.366114616394043,2.0420000553131104,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-23,12.149587631225586,3.494370460510254,13.432214736938477,3.456427574157715,2.064199924468994,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-26,11.854321479797363,3.305398941040039,13.432214736938477,3.4118292331695557,2.067450046539306,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-29,12.08944320678711,3.2925875186920166,13.432214736938477,3.463117837905884,2.117150068283081,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2014-12-30,11.980080604553224,3.212515115737915,13.345973014831545,3.3571951389312744,2.052500009536743,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-02,11.63560676574707,2.9979207515716553,13.231528282165527,3.283607006072998,2.0873000621795654,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-05,11.460637092590332,2.741687774658203,13.231528282165527,3.2334325313568115,2.0607500076293945,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-06,11.919936180114746,2.652006149291992,13.250513076782228,3.902419328689575,1.9811999797821045,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-07,12.357367515563965,2.7769203186035156,13.250513076782228,3.2724568843841553,2.018399953842163,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-08,12.488593101501465,2.956282377243042,13.198984146118164,3.338240623474121,2.017849922180176,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-09,12.22066879272461,3.045963764190674,12.97931671142578,3.311481475830078,2.017849922180176,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-12,12.379237174987791,2.831369638442993,12.97931671142578,3.282491683959961,1.9428999423980713,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-13,12.308154106140137,2.911442279815674,12.97931671142578,3.253502130508423,1.955549955368042,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-14,11.318473815917969,2.853790044784546,12.71897315979004,3.1999833583831787,1.885849952697754,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
2015-01-15,11.449698448181152,2.981905937194824,12.71897315979004,3.165418863296509,1.905500054359436,10.000000000000002,17.47945159498373,29.98425319566814,27.723517228013055,14.812777981335088
