,MAE,MSE,R2
VALE3.SA,5.225650262686602,39.167416341256896,-2.0460925979134825
PETR4.SA,7.48742840459764,61.3831420660143,-11.070577017604323
ITUB4.SA,4.218322207877756,19.4798750616441,-3.353028713447041
PGCO34.SA,17.981220871815367,327.9717257292676,-6.882560223673859
AAPL34.SA,26.591189317589787,723.3411482284047,-8.94565402456925
AMZO34.SA,26.996172030881596,748.8763601347381,-18.25531880208035
^BVSP,6049.9553253257145,51684138.7683998,-2.834229427462545
