Date,AAPL34.SA,AMZO34.SA,ITUB4.SA,PETR4.SA,PGCO34.SA,VALE3.SA,VALE3.SA_returns,VALE3.SA_ma_30,VALE3.SA_volatility_30,VALE3.SA_ma_180,VALE3.SA_volatility_180,PETR4.SA_returns,PETR4.SA_ma_30,PETR4.SA_volatility_30,PETR4.SA_ma_180,PETR4.SA_volatility_180,ITUB4.SA_returns,ITUB4.SA_ma_30,ITUB4.SA_volatility_30,ITUB4.SA_ma_180,ITUB4.SA_volatility_180,PGCO34.SA_returns,PGCO34.SA_ma_30,PGCO34.SA_volatility_30,PGCO34.SA_ma_180,PGCO34.SA_volatility_180,AAPL34.SA_returns,AAPL34.SA_ma_30,AAPL34.SA_volatility_30,AAPL34.SA_ma_180,AAPL34.SA_volatility_180,AMZO34.SA_returns,AMZO34.SA_ma_30,AMZO34.SA_volatility_30,AMZO34.SA_ma_180,AMZO34.SA_volatility_180,^BVSP_returns,^BVSP_ma_30,^BVSP_volatility_30,^BVSP_ma_180,^BVSP_volatility_180
2014-01-02 00:00:00+00:00,0.006888789828408098,0.015001079186697755,0.0319194409787974,0.3922114926377305,0.021397525228057268,0.16258989114340294,0.48793727790099667,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.5432447388504825,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5131246860828332,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.49771315032411884,0.01315770198957425,0.01642008593077787,0.0,0.0,0.43151295584959265,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.5595045801844077,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-03 00:00:00+00:00,0.0067512271131841065,0.015001079186697755,0.03107182183936441,0.38422139771073904,0.021397525228057268,0.1577394444180778,0.48793727790099667,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.5432447388504825,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5131246860828332,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.49771315032411884,0.01315770198957425,0.01642008593077787,0.0,0.0,0.43151295584959265,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.5595045801844077,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-06 00:00:00+00:00,0.005575621069573815,0.015001079186697755,0.03177832379923551,0.3880566189752276,0.021397525228057268,0.1579334959807765,0.5367790008308664,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.5859985046839823,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5282465346027013,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.49771315032411884,0.01315770198957425,0.01642008593077787,0.0,0.0,0.38032752156821376,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.514710070685609,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-07 00:00:00+00:00,0.005575621069573815,0.015001079186697755,0.028388457949545087,0.3733545324535653,0.02188892500393147,0.15250106303578376,0.4811971966784072,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.5186828394186902,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.4883991995604464,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.5084178528734448,0.01315770198957425,0.01642008593077787,0.0,0.0,0.43827697693872636,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.47798795608393535,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-08 00:00:00+00:00,0.005575621069573815,0.015001079186697755,0.035308957852464296,0.3743134896476086,0.019851607742883498,0.15398844672397738,0.5499244240696536,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.5755672858107307,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5891821461864297,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.45342565691373127,0.01315770198957425,0.01642008593077787,0.0,0.0,0.43827697693872636,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.5253495329225577,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-09 00:00:00+00:00,0.005583951829873958,0.015001079186697755,0.021326928111069954,0.35865259780982417,0.021109913683502818,0.14629256824150633,0.4574530647428252,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.5136981203298074,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.3864626213037834,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.5253077502264398,0.01315770198957425,0.01642008593077787,0.0,0.0,0.438696583474714,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.4286934935882296,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-10 00:00:00+00:00,0.006267647830512736,0.015001079186697755,0.02344503808658882,0.3672820987847919,0.021133863201569847,0.14603384886918697,0.5321622368519208,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.6051145207975812,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5424586055224339,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.4982355154383544,0.01315770198957425,0.01642008593077787,0.0,0.0,0.472708285566983,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.5416208266624961,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-13 00:00:00+00:00,0.0046167932645312035,0.015001079186697755,0.021467958046625768,0.36088991146605653,0.015537021651842176,0.14467575266639798,0.5206793051875295,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.5478703988904888,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5017713859874487,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.3756525235819699,0.01315770198957425,0.01642008593077787,0.0,0.0,0.3561801744133488,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.4963204166749273,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-14 00:00:00+00:00,0.006267647830512736,0.015001079186697755,0.02796493192284777,0.35865259780982417,0.021133863201569847,0.1445463929802383,0.5335007977871217,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.56344168091169,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5860453517981432,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.6227890006962781,0.01315770198957425,0.01642008593077787,0.0,0.0,0.5229336584778229,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.5346533213806993,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
2014-01-15 00:00:00+00:00,0.006267647830512736,0.015001079186697755,0.028105874614397786,0.3695194630669979,0.021133863201569847,0.14732727726235534,0.5641067103579991,0.14636447452578827,0.06499512239640254,0.12514478951951455,5.94800722031677e-05,0.613702374255289,0.3489232785081046,0.06417550336441855,0.43087419638600494,0.3600942562147,0.5227474981687026,0.0003313125463405009,0.030471910133792857,0.0077553048222962495,0.19620110234012322,0.49771315032411884,0.01315770198957425,0.01642008593077787,0.0,0.0,0.43827697693872636,0.002485177732172293,0.014065992738033693,0.0,0.0,0.3297112783721287,0.013335946463225577,0.026588651736043505,0.0018348345701697244,0.009349461275146366,0.5433819175782347,0.1021213681058355,0.040457269343843874,0.09035226630528748,0.12344147092782357
