Date,^BVSP
2016-08-05 00:00:00+00:00,57661.0
2023-08-11 00:00:00+00:00,118065.0
2023-03-14 00:00:00+00:00,102932.0
2015-04-06 00:00:00+00:00,53737.0
2015-06-03 00:00:00+00:00,53523.0
2016-03-23 00:00:00+00:00,49690.0
2020-06-02 00:00:00+00:00,91046.0
2020-04-30 00:00:00+00:00,80506.0
2022-11-22 00:00:00+00:00,109037.0
2022-10-27 00:00:00+00:00,114641.0
2021-10-01 00:00:00+00:00,112900.0
2015-03-27 00:00:00+00:00,50095.0
2015-03-02 00:00:00+00:00,51021.0
2016-10-20 00:00:00+00:00,63838.0
2015-03-31 00:00:00+00:00,51150.0
2016-07-20 00:00:00+00:00,56578.0
2022-11-29 00:00:00+00:00,110910.0
2017-08-22 00:00:00+00:00,70011.0
2022-05-30 00:00:00+00:00,111032.0
2020-11-23 00:00:00+00:00,107379.0
2022-01-07 00:00:00+00:00,102719.0
2023-12-28 00:00:00+00:00,134185.0
2021-10-05 00:00:00+00:00,110458.0
2019-09-06 00:00:00+00:00,102935.0
2021-07-15 00:00:00+00:00,127468.0
2015-03-19 00:00:00+00:00,50954.0
2021-04-16 00:00:00+00:00,121114.0
2017-08-29 00:00:00+00:00,71330.0
2018-07-12 00:00:00+00:00,75856.0
2020-03-11 00:00:00+00:00,85171.0
2019-06-14 00:00:00+00:00,98040.0
2018-01-19 00:00:00+00:00,81220.0
2014-01-21 00:00:00+00:00,48542.0
2017-07-11 00:00:00+00:00,63832.0
2023-06-30 00:00:00+00:00,118087.0
2017-04-06 00:00:00+00:00,64223.0
2020-08-28 00:00:00+00:00,102143.0
2016-02-02 00:00:00+00:00,38596.0
2022-10-03 00:00:00+00:00,116134.0
2015-08-26 00:00:00+00:00,46038.0
2018-07-04 00:00:00+00:00,74743.0
2015-04-08 00:00:00+00:00,53661.0
2022-07-21 00:00:00+00:00,99033.0
2022-02-24 00:00:00+00:00,111592.0
2024-09-17 00:00:00+00:00,134960.0
2023-06-12 00:00:00+00:00,117336.0
2019-06-07 00:00:00+00:00,97821.0
2020-04-16 00:00:00+00:00,77812.0
2015-07-20 00:00:00+00:00,51600.0
2019-03-07 00:00:00+00:00,94340.0
2021-09-13 00:00:00+00:00,116404.0
2023-07-27 00:00:00+00:00,119990.0
2022-07-22 00:00:00+00:00,98925.0
2018-10-04 00:00:00+00:00,82953.0
2017-06-21 00:00:00+00:00,60762.0
2021-07-23 00:00:00+00:00,125053.0
2017-05-24 00:00:00+00:00,63257.0
2015-01-23 00:00:00+00:00,48775.0
2018-06-25 00:00:00+00:00,70953.0
2023-06-06 00:00:00+00:00,114610.0
2016-03-30 00:00:00+00:00,51249.0
2015-09-03 00:00:00+00:00,47366.0
2014-11-21 00:00:00+00:00,56084.0
2015-06-15 00:00:00+00:00,53138.0
2019-07-19 00:00:00+00:00,103452.0
2023-06-14 00:00:00+00:00,119069.0
2014-01-14 00:00:00+00:00,49703.0
2022-12-21 00:00:00+00:00,107313.0
2018-11-08 00:00:00+00:00,85620.0
2017-11-13 00:00:00+00:00,72475.0
2015-04-13 00:00:00+00:00,54240.0
2017-11-23 00:00:00+00:00,74487.0
2020-10-08 00:00:00+00:00,97920.0
2015-03-25 00:00:00+00:00,51858.0
2015-09-22 00:00:00+00:00,46265.0
2018-05-29 00:00:00+00:00,76072.0
2014-06-05 00:00:00+00:00,51559.0
2023-08-29 00:00:00+00:00,118404.0
2021-01-26 00:00:00+00:00,116464.0
2022-08-29 00:00:00+00:00,112323.0
2014-07-01 00:00:00+00:00,53171.0
2016-10-06 00:00:00+00:00,60644.0
2021-05-14 00:00:00+00:00,121881.0
2024-06-04 00:00:00+00:00,121802.0
2021-01-28 00:00:00+00:00,119314.0
2020-04-02 00:00:00+00:00,72253.0
2018-07-11 00:00:00+00:00,74399.0
2014-06-23 00:00:00+00:00,54210.0
2023-12-22 00:00:00+00:00,132753.0
2018-12-04 00:00:00+00:00,88624.0
2021-05-24 00:00:00+00:00,124032.0
2024-03-08 00:00:00+00:00,127071.0
2024-09-13 00:00:00+00:00,134882.0
2020-10-16 00:00:00+00:00,98309.0
2021-07-28 00:00:00+00:00,126286.0
2016-09-19 00:00:00+00:00,57350.0
2018-09-21 00:00:00+00:00,79444.0
2016-05-25 00:00:00+00:00,49483.0
2017-08-01 00:00:00+00:00,66516.0
2020-08-12 00:00:00+00:00,102118.0
2023-06-16 00:00:00+00:00,118758.0
2023-10-03 00:00:00+00:00,113419.0
2020-08-13 00:00:00+00:00,100461.0
2019-06-28 00:00:00+00:00,100967.0
2017-03-27 00:00:00+00:00,64308.0
2023-01-04 00:00:00+00:00,105334.0
2021-06-04 00:00:00+00:00,130126.0
2022-04-14 00:00:00+00:00,116182.0
2023-09-01 00:00:00+00:00,117893.0
2024-08-20 00:00:00+00:00,136087.0
2015-02-06 00:00:00+00:00,48792.0
2014-04-15 00:00:00+00:00,50454.0
2019-11-18 00:00:00+00:00,106347.0
2015-08-05 00:00:00+00:00,50287.0
2016-05-13 00:00:00+00:00,51804.0
