Date,VALE3.SA,PETR4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,VALE3.SA_Quantidade_Proporcional,PETR4.SA_Quantidade_Proporcional,PGCO34.SA_Quantidade_Proporcional,AAPL34.SA_Quantidade_Proporcional,AMZO34.SA_Quantidade_Proporcional,Retorno_Log_6M,Retorno_Log_5Y
2014-12-05,11.963680267333984,3.901139736175537,12.679919242858888,3.3783793449401855,2.021699905395508,0.0083586319397922,0.0448060125426822,0.0236470379829546,0.0820615875169101,0.0732689255304547,,
2014-12-08,11.580926895141602,3.686545610427856,12.679919242858888,3.2947564125061035,2.005000114440918,0.0086348874235577,0.0474141742490338,0.0236470379829546,0.0841443607872838,0.0738791877099994,,
2014-12-09,11.318473815917969,3.6577188968658447,12.679919242858888,3.317055940628052,2.005000114440918,0.008835113428399,0.0477878483498586,0.0236470379829546,0.0835786846053729,0.0738791877099994,,
2014-12-10,10.89744472503662,3.48476243019104,12.908811569213867,3.311481475830078,2.009424924850464,0.0091764631547295,0.0501596649560569,0.0232277410162042,0.0837193788652062,0.0737165036530907,,
2014-12-11,10.59124755859375,3.4046897888183594,12.908811569213867,3.372804880142212,2.009424924850464,0.009441758343082,0.0513393368535058,0.0232277410162042,0.0821972163027827,0.0737165036530907,,
2014-12-12,10.339723587036133,3.2637617588043213,12.908811569213867,3.372804880142212,2.009424924850464,0.0096714384246576,0.0535561504997451,0.0232277410162042,0.0821972163027827,0.0737165036530907,,
2014-12-15,10.219432830810549,2.9018330574035645,13.073145866394045,3.2847211360931396,2.009424924850464,0.0097852788560349,0.060235896584015,0.0229357596879156,0.0844014334227091,0.0737165036530907,,
2014-12-16,10.580310821533203,3.0011229515075684,13.472887992858888,3.2891812324523926,4.018849849700928,0.0094515181724603,0.0582430372811057,0.0222552530768168,0.084286985935836,0.0368582518265453,,
2014-12-17,10.777153968811035,3.0331521034240723,13.472887992858888,3.2891812324523926,4.018849849700928,0.0092788875698908,0.0576280087479011,0.0222552530768168,0.084286985935836,0.0368582518265453,,
2014-12-18,10.913848876953123,3.0651814937591553,13.472887992858888,3.3426997661590576,4.018849849700928,0.0091626703949667,0.0570258290759378,0.0222552530768168,0.0829375031185312,0.0368582518265453,,
2014-12-19,11.794174194335938,3.1484570503234863,13.472887992858888,3.30590558052063,4.018849849700928,0.0084787623408194,0.0555175164075616,0.0222552530768168,0.0838605838937693,0.0368582518265453,,
2014-12-22,11.684821128845217,3.321413278579712,13.432214736938477,3.366114616394043,2.0420000553131104,0.0085581113221442,0.0526265481857115,0.0223226428276281,0.0823605859794279,0.0725405366311989,,
2014-12-23,12.149587631225586,3.494370460510254,13.432214736938477,3.456427574157715,2.064199924468994,0.0082307320244343,0.0500217472432254,0.0223226428276281,0.0802085871415052,0.0717603842813123,,
2014-12-26,11.854321479797363,3.305398941040039,13.432214736938477,3.4118292331695557,2.067450046539306,0.008435742203417,0.0528815187115775,0.0223226428276281,0.0812570481502621,0.0716475738126302,,
2014-12-29,12.08944320678711,3.2925875186920166,13.432214736938477,3.463117837905884,2.117150068283081,0.0082716795380501,0.0530872801277199,0.0223226428276281,0.0800536352663564,0.0699656495930287,,
