ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-05-03,61.61214342539953,57.043627863476615,66.50804354099279,61.61214342539953,61.61214342539953,0.012872172863736205,0.012872172863736205,0.012872172863736205,-0.18467580949415086,-0.18467580949415086,-0.18467580949415086,0.19754798235788706,0.19754798235788706,0.19754798235788706,0.0,0.0,0.0,61.62501559826327
2024-05-06,61.57469640779711,56.48870065809412,66.65355651547647,61.57469640779711,61.57469640779711,0.021620006008330302,0.021620006008330302,0.021620006008330302,-0.14374715031857432,-0.14374715031857432,-0.14374715031857432,0.16536715632690463,0.16536715632690463,0.16536715632690463,0.0,0.0,0.0,61.59631641380545
2024-05-07,61.562214068596305,56.57232863463354,66.70568609722434,61.562214068596305,61.562214068596305,0.03642784244250291,0.03642784244250291,0.03642784244250291,-0.1306292573709605,-0.1306292573709605,-0.1306292573709605,0.1670570998134634,0.1670570998134634,0.1670570998134634,0.0,0.0,0.0,61.598641911038804
2024-05-08,61.5497317293955,56.42510835240992,66.38593132803052,61.5497317293955,61.5497317293955,0.033198196044001274,0.033198196044001274,0.033198196044001274,-0.14118522419795015,-0.14118522419795015,-0.14118522419795015,0.17438342024195144,0.17438342024195144,0.17438342024195144,0.0,0.0,0.0,61.58292992543951
2024-05-09,61.5372493901947,56.343298142169985,66.4066587821634,61.5372493901947,61.5372493901947,-0.024871024874427952,-0.024871024874427952,-0.024871024874427952,-0.21174490207043165,-0.21174490207043165,-0.21174490207043165,0.18687387719600373,0.18687387719600373,0.18687387719600373,0.0,0.0,0.0,61.512378365320274
2024-05-10,61.52476705099389,56.222186896654804,66.66617849058294,61.52476705099389,61.52476705099389,0.01931219538879788,0.01931219538879788,0.01931219538879788,-0.1846758094940956,-0.1846758094940956,-0.1846758094940956,0.2039880048828935,0.2039880048828935,0.2039880048828935,0.0,0.0,0.0,61.54407924638269
2024-05-13,61.487320033391484,56.3346848480463,66.5579739778405,61.487320033391484,61.487320033391484,0.13318370900294388,0.13318370900294388,0.13318370900294388,-0.14374715031928648,-0.14374715031928648,-0.14374715031928648,0.2769308593222303,0.2769308593222303,0.2769308593222303,0.0,0.0,0.0,61.620503742394426
2024-05-14,61.474837694190676,56.44526295222413,66.84320967781218,61.474837694190676,61.474837694190676,0.17561880911687186,0.17561880911687186,0.17561880911687186,-0.13062925737061154,-0.13062925737061154,-0.13062925737061154,0.3062480664874834,0.3062480664874834,0.3062480664874834,0.0,0.0,0.0,61.650456503307545
2024-05-15,61.462355354989874,56.364911395511,67.14950564240034,61.462355354989874,61.462355354989874,0.19575376761208302,0.19575376761208302,0.19575376761208302,-0.14118522419799792,-0.14118522419799792,-0.14118522419799792,0.33693899181008097,0.33693899181008097,0.33693899181008097,0.0,0.0,0.0,61.65810912260196
2024-05-16,61.44987301578907,56.535271040899936,66.39034525608938,61.44987301578907,61.44987301578907,0.15659000743642432,0.15659000743642432,0.15659000743642432,-0.2117449020701001,-0.2117449020701001,-0.2117449020701001,0.3683349095065245,0.3683349095065245,0.3683349095065245,0.0,0.0,0.0,61.606463023225494
2024-05-17,61.43739067658826,56.71633577627448,66.81616114550128,61.43739067658826,61.43739067658826,0.21511151517474594,0.21511151517474594,0.21511151517474594,-0.18467580949404028,-0.18467580949404028,-0.18467580949404028,0.3997873246687863,0.3997873246687863,0.3997873246687863,0.0,0.0,0.0,61.652502191763006
2024-05-20,61.399943658985855,56.562051204299735,66.99021153430843,61.399943658985855,61.399943658985855,0.3447333453079783,0.3447333453079783,0.3447333453079783,-0.14374715031929783,-0.14374715031929783,-0.14374715031929783,0.488480495627276,0.488480495627276,0.488480495627276,0.0,0.0,0.0,61.744677004293834
