Date,VALE3.SA,PETR4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,VALE3.SA_Quantidade_Proporcional,PETR4.SA_Quantidade_Proporcional,PGCO34.SA_Quantidade_Proporcional,AAPL34.SA_Quantidade_Proporcional,AMZO34.SA_Quantidade_Proporcional
2022-01-18,68.39683532714844,13.439064025878906,58.55796813964844,46.62136459350586,44.430999755859375,0.0014620559492510247,0.013006450122809491,0.005120439480441329,0.005946526333953514,0.0033338835638920413
2022-01-19,69.90250396728516,13.375354766845703,59.532997131347656,44.70427322387695,42.81782531738281,0.0014305639186659278,0.013068402221607683,0.005036577132092624,0.006201536280251096,0.003459488629218524
2022-01-20,68.71382141113281,13.47304344177246,59.627906799316406,44.236087799072266,41.212501525878906,0.0014553112888551752,0.012973647469130557,0.005028560418292578,0.006267172032467682,0.0035942438417705795
2022-01-21,67.28739166259766,13.494284629821776,59.8729133605957,43.84182357788086,39.206825256347656,0.0014861625265760745,0.012953225809654934,0.005007982994761324,0.006323531953173628,0.0037781120721925507
2022-01-24,66.46324920654297,13.570737838745115,59.79752349853515,43.73833465576172,39.736698150634766,0.001504590900893776,0.012880251466562891,0.00501429682057028,0.0063384940113079945,0.0037277324666439263
2022-01-25,66.61380767822266,14.01247787475586,58.54429244995117,43.02373504638672,37.95867538452149,0.0015011902709877963,0.012474204599083641,0.005121635592624392,0.006443772768245832,0.0039023432275445873
2022-01-26,66.80400085449219,14.38625431060791,57.58314895629883,42.56541061401367,37.68392562866211,0.0014969163331671263,0.012150106078755335,0.005207122871731776,0.006513156299468596,0.003930794824111583
2022-01-27,66.95455932617188,14.390503883361816,58.1108283996582,42.31899642944336,37.8213005065918,0.0014935502676202517,0.01214651810434055,0.005159839228147107,0.006551080972403323,0.003916517354751828
2022-01-28,66.29682922363281,13.821338653564451,57.95063400268555,44.896480560302734,38.457149505615234,0.0015083677631501727,0.012646713920489801,0.005174102701668217,0.0061749867432874155,0.003851761810680283
2022-01-31,64.08587646484375,13.740639686584473,57.130855560302734,45.41887283325195,39.603248596191406,0.001560406216100642,0.012720988246311129,0.00524834660738087,0.006103964167009487,0.0037402936643837884
2022-02-01,67.60437774658203,14.01672649383545,56.72566223144531,45.241455078125,40.03499984741211,0.001479194148859034,0.012470423534818337,0.005285835725166142,0.006127901319738463,0.003699957047031835
2022-02-02,67.98475646972656,13.812846183776855,57.56430435180664,45.38437271118164,39.61109924316406,0.0014709179703325077,0.012654489424137142,0.0052088275074807,0.0061086042555750985,0.003739552363947946
2022-02-03,67.95306396484375,13.621707916259766,58.23333358764648,45.03446578979492,40.03499984741211,0.001471603989067161,0.012832055790976921,0.00514898449880756,0.0061560666351448915,0.003699957047031835
2022-02-04,69.73609161376953,13.859567642211914,58.24274826049805,45.15504455566406,42.11524963378906,0.00143397769628166,0.012611830358796173,0.005148152189103402,0.006139627919940903,0.003517200565148923
2022-02-07,71.42401123046875,13.655689239501951,56.98008728027344,44.31618881225586,41.47154998779297,0.0014000893855894367,0.012800124027735445,0.0052622336375480975,0.006255844189459266,0.0035717927074573256
2022-02-08,72.4225082397461,13.51976490020752,56.37702560424805,45.140235900878906,42.27617645263672,0.0013807862007341961,0.012928813277452355,0.00531852343650581,0.006141642079339081,0.0035038121287837586
2022-02-09,72.43836212158203,13.570737838745115,56.16029739379883,45.35734939575195,42.291873931884766,0.0013804840014488176,0.012880251466562891,0.005339048150941411,0.006112243682081115,0.003502511618471323
2022-02-10,74.38780212402344,13.778864860534668,55.406471252441406,44.75535583496094,41.848350524902344,0.0013443064204703148,0.012685697821921643,0.005411687934258568,0.006194458006377116,0.003539632457561397
2022-02-11,72.88214874267578,14.339532852172852,55.45357894897461,43.86222457885742,40.10957336425781,0.0013720780976569304,0.012189693886949108,0.005407090716950484,0.006320590780381078,0.0036930779210269426
2022-02-14,72.56515502929688,14.01672649383545,55.18973922729492,43.659915924072266,40.66692352294922,0.0013780718853232908,0.012470423534818337,0.005432939820965664,0.00634987874832976,0.003642463382551158
2022-02-15,70.40966796875,13.795854568481444,54.18149185180664,43.74872970581055,40.1723747253418,0.0014202595024930828,0.012670075281105078,0.005534039793086342,0.006336987934150444,0.0036873045426390476
2022-02-16,70.92476654052734,13.986992835998535,54.18149185180664,43.482269287109375,40.6276741027832,0.0014099447185752624,0.012496933257874132,0.005534039793086342,0.006375821152515581,0.003645982278941323
2022-02-17,67.87381744384766,13.931774139404297,55.218013763427734,42.97896194458008,39.964351654052734,0.0014733221699623792,0.012546464951326814,0.005430157869156724,0.006450485533773849,0.0037064977581921918
2022-02-18,68.01647186279297,14.01672649383545,55.18031692504883,42.48550796508789,39.09299850463867,0.0014702320961564458,0.012470423534818337,0.005433867521347442,0.006525405616144363,0.003789112769023702
2022-02-21,68.07193756103516,14.37775993347168,54.05900573730469,41.498626708984375,38.43752670288086,0.001469034136281743,0.012157284358526015,0.005546578740529221,0.006680586666741665,0.0038537281797126877
2022-02-22,69.25269317626953,14.33104133605957,53.39939880371094,41.005184173583984,37.81737518310547,0.0014439871637261683,0.012196916598797446,0.005615091905039278,0.006760978590085901,0.003916923876819602
