Date,PETR4.SA_5%,PETR4.SA_50%,PETR4.SA_95%,ITUB4.SA_5%,ITUB4.SA_50%,ITUB4.SA_95%,PGCO34.SA_5%,PGCO34.SA_50%,PGCO34.SA_95%,AAPL34.SA_5%,AAPL34.SA_50%,AAPL34.SA_95%,AMZO34.SA_5%,AMZO34.SA_50%,AMZO34.SA_95%,^BVSP_5%,^BVSP_50%,^BVSP_95%
0,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
1,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
2,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
3,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
4,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
5,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
6,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
7,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
8,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
9,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
10,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
11,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
12,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
13,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
14,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
15,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
16,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
17,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
18,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
19,37.5041417600926,37.950239309809064,38.49574253852104,34.491578304301406,34.582420132613876,34.690965101759126,70.28369843136605,70.35095649182202,70.38655753567066,65.95517245910466,66.07998493485064,66.1355483471769,58.57968889277701,58.608638137670425,58.6700039476299,127732.76463441894,128401.5904928153,129111.37450436057
