VALE3.SA,PETR4.SA,ITUB4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,^BVSP,Date
0.005244144104181059,0.02341134211714002,-0.00277025622492455,0.0,0.0,0.0,0.0018687329079307702,2012-02-23 00:00:00+00:00
-0.010660132431314473,-0.0053104725946802045,-0.010834167971011,0.0,0.0,0.0,-0.010645557526955063,2012-02-24 00:00:00+00:00
0.010546088256198516,-0.0008213783032342548,0.02723957741511307,0.0,0.0,0.0,0.011005349396851605,2012-02-27 00:00:00+00:00
-0.012024154535730247,-0.0008219861166242071,0.00601476957637348,0.0,0.04571178863095038,0.0,-0.0022286571961369628,2012-02-28 00:00:00+00:00
0.011481264541589598,0.02344725941798287,0.02243802447138865,0.0,0.0037776320982454425,0.0,0.015164407706801164,2012-02-29 00:00:00+00:00
0.009080882737618978,0.01688084158350578,0.01344166767070476,0.0,0.023656020609737816,0.0,0.014548720251459368,2012-03-01 00:00:00+00:00
-0.02924656664395875,-0.02806325273832333,-0.014589237274704292,0.0,-0.023109345457321906,0.0,-0.012068100675695637,2012-03-02 00:00:00+00:00
-0.048435547589300916,-0.03416025545264412,-0.033647285155392614,0.0,-0.005377048711861621,0.0,-0.027626784540947358,2012-03-05 00:00:00+00:00
-0.0014614570504277724,0.009684069054576971,0.020891210370330482,0.0,0.005406117669914723,0.0,0.013867985379488301,2012-03-06 00:00:00+00:00
0.0036585921503420327,0.004587559385854423,0.031923578248769235,0.0,0.0,0.0,0.01349652362270315,2012-03-07 00:00:00+00:00
-0.0009721739009765917,-0.015774688502234735,0.015865423142211732,0.0,0.0,0.0,-0.0030489627548275777,2012-03-08 00:00:00+00:00
-0.01191933026170855,-0.011808938018655124,-0.015877825487984998,0.0,0.0,0.0,-0.004782321899736153,2012-03-09 00:00:00+00:00
0.05120663277499227,0.04268011944106109,0.011637420359453143,0.0,0.0,0.0,0.030262860585975826,2012-03-12 00:00:00+00:00
-0.009367885966071965,0.016373437486784326,0.003921719906178955,0.0,0.0,0.0,-0.0020030996871071016,2012-03-13 00:00:00+00:00
0.00945647312797604,-0.024566754875813612,0.001822319229774827,0.0,0.0,0.0,-0.007442460113980975,2012-03-14 00:00:00+00:00
0.006323108101602415,0.005367139943500465,0.0033786141154492633,0.0,0.0,0.0,-0.0009594237553322005,2012-03-15 00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0006796288635424474,2012-03-16 00:00:00+00:00
