Date,VALE3.SA,PETR4.SA,ITUB4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,^BVSP
2014-01-02 00:00:00+00:00,17.841442108154297,5.042311191558838,9.717010498046875,10.1994047164917,2.0653557777404785,2.3510749340057373,50341.0
2014-01-03 00:00:00+00:00,17.45703887939453,4.967055320739746,9.698511123657227,10.1994047164917,2.0602104663848877,2.3510749340057373,50981.0
2014-01-06 00:00:00+00:00,17.472414016723633,5.003178596496582,9.713927268981934,10.1994047164917,2.0162360668182373,2.3510749340057373,50974.0
2014-01-07 00:00:00+00:00,17.041881561279297,4.864703178405762,9.639942169189453,10.220965385437012,2.0162360668182373,2.3510749340057373,50430.0
2014-01-08 00:00:00+00:00,17.159765243530273,4.873732566833496,9.79100513458252,10.131562232971191,2.0162360668182373,2.3510749340057373,50577.0
2014-01-09 00:00:00+00:00,16.549846649169922,4.726227283477783,9.48580551147461,10.186782836914062,2.0165486335754395,2.3510749340057373,49322.0
2014-01-10 00:00:00+00:00,16.52934455871582,4.8075056076049805,9.532052993774414,10.187835693359375,2.042121410369873,2.3510749340057373,49696.0
2014-01-13 00:00:00+00:00,16.421710968017578,4.747299671173096,9.488886833190918,9.942234992980957,1.9803717136383057,2.3510749340057373,49427.0
2014-01-14 00:00:00+00:00,16.41146469116211,4.726227283477783,9.630698204040527,10.187835693359375,2.042121410369873,2.3510749340057373,49703.0
2014-01-15 00:00:00+00:00,16.631855010986328,4.828579902648926,9.63377571105957,10.187835693359375,2.042121410369873,2.3510749340057373,50105.0
2014-01-16 00:00:00+00:00,16.826616287231445,4.693113803863525,9.433394432067871,10.05846118927002,2.055532217025757,2.3510749340057373,49696.0
2014-01-17 00:00:00+00:00,16.652355194091797,4.669031143188477,9.24842643737793,10.05846118927002,2.055532217025757,2.3510749340057373,49182.0
2014-01-20 00:00:00+00:00,16.293577194213867,4.569690227508545,9.174440383911133,10.05846118927002,2.055532217025757,2.3510749340057373,48708.0
2014-01-21 00:00:00+00:00,15.92967414855957,4.617855548858643,9.303918838500977,10.05846118927002,2.055532217025757,2.3510749340057373,48542.0
2014-01-22 00:00:00+00:00,16.303829193115234,4.768372058868408,9.325498580932617,10.133939743041992,2.055532217025757,2.3510749340057373,49300.0
2014-01-23 00:00:00+00:00,15.852792739868164,4.656989574432373,9.140530586242676,10.133939743041992,2.055532217025757,2.3510749340057373,48321.0
2014-01-24 00:00:00+00:00,16.016807556152344,4.54560661315918,9.02030086517334,10.237794876098633,2.0641088485717773,2.3510749340057373,47787.0
2014-01-27 00:00:00+00:00,15.950176239013672,4.548617362976074,9.202187538146973,10.189045906066895,2.0832889080047607,2.3510749340057373,47701.0
2014-01-28 00:00:00+00:00,16.273075103759766,4.530555725097656,9.266923904418945,10.066118240356445,1.9133198261260986,2.3510749340057373,47841.0
2014-01-29 00:00:00+00:00,16.965002059936523,4.455296516418457,9.091208457946777,10.066118240356445,1.9203366041183472,2.3510749340057373,47557.0
2014-01-30 00:00:00+00:00,16.65747833251953,4.425194263458252,9.100459098815918,9.9055757522583,1.888682246208191,2.3510749340057373,47244.0
2014-01-31 00:00:00+00:00,16.939373016357422,4.425194263458252,9.32857608795166,9.897627830505371,1.892268419265747,2.2204999923706055,47639.0
2014-02-03 00:00:00+00:00,16.46784019470215,4.169314861297607,9.222176551818848,9.814441680908203,1.8899294137954712,2.097475051879883,46148.0
2014-02-04 00:00:00+00:00,16.74460792541504,4.241562366485596,9.669404029846191,9.814441680908203,1.8899294137954712,2.097475051879883,46964.0
2014-02-05 00:00:00+00:00,17.170013427734375,4.163293838500977,9.623141288757324,9.814441680908203,1.8899294137954712,2.097475051879883,46624.0
2014-02-06 00:00:00+00:00,17.55954360961914,4.277688026428223,9.823616981506348,9.814441680908203,1.8899294137954712,2.097475051879883,47738.0
2014-02-07 00:00:00+00:00,17.45191192626953,4.3499345779418945,9.817444801330566,9.814441680908203,1.8899294137954712,2.097475051879883,48074.0
2014-02-10 00:00:00+00:00,17.24176788330078,4.398101329803467,9.802026748657227,9.814441680908203,1.9013344049453735,2.097475051879883,47711.0
2014-02-11 00:00:00+00:00,17.677431106567383,4.503460884094238,9.820535659790039,10.106917381286621,1.9013344049453735,2.097475051879883,48463.0
2014-02-12 00:00:00+00:00,17.66204833984375,4.503460884094238,9.715662002563477,10.00889778137207,2.051936388015747,2.097475051879883,48217.0
2014-02-13 00:00:00+00:00,17.590295791625977,4.398101329803467,9.672481536865234,9.93471622467041,2.0307579040527344,2.097475051879883,47813.0
2014-02-14 00:00:00+00:00,17.85681915283203,4.389069080352783,9.746508598327637,9.93471622467041,2.0307579040527344,2.097475051879883,48201.0
2014-02-17 00:00:00+00:00,17.677431106567383,4.3439154624938965,9.623141288757324,9.93471622467041,2.0307579040527344,2.097475051879883,47576.0
2014-02-18 00:00:00+00:00,17.71843147277832,4.247583866119385,9.564533233642578,9.951672554016113,2.0663678646087646,2.097475051879883,46600.0
2014-02-19 00:00:00+00:00,17.8978214263916,4.274677753448486,9.757040023803711,9.970215797424316,2.0663678646087646,2.09155011177063,47151.0
2014-02-20 00:00:00+00:00,17.69280433654785,4.26263427734375,9.744492530822754,9.884378433227539,1.9777336120605469,2.1076500415802,47289.0
2014-02-21 00:00:00+00:00,17.738937377929688,4.25962495803833,9.757040023803711,9.870072364807129,1.9487110376358032,2.067699909210205,47380.0
2014-02-24 00:00:00+00:00,17.257150650024414,4.364985942840576,9.810373306274414,9.870072364807129,1.9526331424713135,2.058199882507324,47393.0
