Date,VALE3.SA,PETR4.SA,ITUB4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA
2014-12-31 00:00:00,,,,,,
2015-12-31 00:00:00,-37.32307490233463,-33.20040091240598,-12.000972217034533,34.391990663033646,44.72254540963676,215.61023133397433
2016-12-31 00:00:00,98.24154241111087,121.94031500690774,49.96772674390044,-11.365827742115853,-9.815736391481188,-4.093148536330982
2017-12-31 00:00:00,63.73650817854086,8.271680286803807,30.571025115476246,15.506404689307463,52.71477868912224,58.2873880360403
2018-12-31 00:00:00,31.80841998520789,46.95526495375584,31.26892573835791,20.276646898408245,8.956498582746608,45.89536968506442
2019-12-31 00:00:00,7.279133800485527,37.48880743195328,8.00944821158851,47.86601429534354,95.93692768989104,29.47407876491588
2020-12-31 00:00:00,70.92990255838207,-6.094877385657716,-12.441642450661616,43.7586680218168,136.58356044547622,130.94325976212073
2021-12-31 00:00:00,4.872759843517271,23.51025814979004,-31.4049417675876,28.444480593506192,44.200779034029416,9.295518432572237
2022-12-31 00:00:00,24.95029704454661,37.93682718529505,24.180324413022248,-9.202228502265374,-30.406186975284875,-52.20530644910788
2023-12-31 00:00:00,-7.648015652129914,96.8115818313328,42.30733287843933,-10.056000516126085,37.54059946962849,65.77421588054568
2024-12-31 00:00:00,-17.548363635507492,18.577916469180256,1.943529908289654,53.979756053880564,52.62729918321407,68.31762102550147
Média (%),23.929910963181907,35.2197373016955,13.24007565737906,21.35999044547891,43.30610651369788,56.72992279352961
