Date,VALE3.SA,PETR4.SA,PGCO34.SA,AAPL34.SA,AMZO34.SA,VALE3.SA_Quantidade_Proporcional,PETR4.SA_Quantidade_Proporcional,PGCO34.SA_Quantidade_Proporcional,AAPL34.SA_Quantidade_Proporcional,AMZO34.SA_Quantidade_Proporcional,Retorno_Futuro_6M,Retorno_Futuro_5Y,Retorno_Passado_1M,Volatilidade_1M
2016-06-08,9.796520233154297,3.007528781890869,16.4350643157959,3.800668716430664,6.5,0.0102077061670909,0.0581189835995324,0.0182440741450886,0.07294378778177,0.0227888892020539,0.8360185880684505,,0.11621802705203099,0.5378637900356515
2016-06-09,9.047377586364746,2.940268039703369,16.4350643157959,3.870626449584961,6.5,0.0110529265574932,0.0594484970722164,0.0182440741450886,0.0716254011827614,0.0227888892020539,0.9303828884215994,,-0.010711829552582097,0.5343788888274462
2016-06-10,8.615174293518066,2.8121514320373535,16.242313385009766,3.8775064945220943,6.174799919128418,0.0116074262218047,0.0621568646547607,0.0184605803895773,0.0714983128130904,0.0239890817116968,0.9922392517322705,,-0.06210820229977854,0.5235167096329726
2016-06-13,8.75924301147461,2.7609052658081055,16.242313385009766,3.9004430770874023,6.174799919128418,0.0114165116630512,0.0633105808136722,0.0184605803895773,0.0710778664887353,0.0239890817116968,0.9515302134019805,,-0.01554392704715768,0.5215811541415449
2016-06-14,8.430770874023438,2.65841293334961,16.50063705444336,3.8442482948303223,6.174799919128418,0.0118613115567066,0.0657514540939264,0.0181715730712311,0.072116874618362,0.0239890817116968,0.9478088083848699,,-0.0034058898039301955,0.5222242443475704
2016-06-15,8.643989562988281,2.725673198699951,16.50063705444336,3.8442482948303223,6.174799919128418,0.0115687321544415,0.0641289337376205,0.0181715730712311,0.072116874618362,0.0239890817116968,0.8695865346849252,,0.0046888687667647755,0.5220132765249487
2016-06-16,8.776529312133789,2.722470760345459,16.50063705444336,3.868332862854004,6.174799919128418,0.011394025638557,0.0642043685081331,0.0181715730712311,0.0716678688492153,0.0239890817116968,0.8644686248554525,,0.006609401087150468,0.5223827170565606
2016-06-17,8.805341720581055,2.86660099029541,16.50063705444336,3.734151124954224,6.174799919128418,0.011356742665224,0.060976228132756,0.0181715730712311,0.0742431580841627,0.0239890817116968,0.8267698609454928,,0.038748641947419005,0.5208447922707345
2016-06-20,8.972460746765137,2.940268039703369,16.06211280822754,3.699745178222656,6.174799919128418,0.0111452145428502,0.0594484970722164,0.0186676893343129,0.0749335856728687,0.0239890817116968,0.6829192542292679,,0.045668364562690744,0.5234499331387674
2016-06-21,8.98974895477295,3.052370071411133,16.06211280822754,3.7272698879241943,6.034999847412109,0.0111237811537447,0.0572651781600743,0.0186676893343129,0.0743802248338205,0.024544786008051,0.7138567231408268,,0.10403394167957436,0.5094744777465726
2016-06-22,9.133814811706545,2.9915146827697754,16.06211280822754,3.695158481597901,6.034999847412109,0.010948327950752,0.0584301046411709,0.0186676893343129,0.0750265986319064,0.024544786008051,0.680478066351142,,0.09764547428489467,0.5055864298551335
2016-06-23,9.560250282287598,3.0972115993499756,16.06211280822754,3.6791021823883057,6.034999847412109,0.0104599772021943,0.0564360910912648,0.0186676893343129,0.0753540289278299,0.024544786008051,0.5388258481668533,,0.18330935941355841,0.5039760832686241
2016-06-24,8.765005111694336,2.962688446044922,16.06211280822754,3.628641128540039,6.034999847412109,0.0114090064667023,0.058998615322911,0.0186676893343129,0.0764019263573949,0.024544786008051,0.6658775419785101,,0.04035572415168631,0.49447278818192025
2016-06-27,8.52873420715332,2.8121514320373535,16.06211280822754,3.5712978839874268,6.034999847412109,0.0117250693445373,0.0621568646547607,0.0186676893343129,0.0776286888649545,0.024544786008051,0.7663986440383828,,0.035689072290261636,0.479157056426481
2016-06-28,8.90907096862793,2.946674108505249,15.52492332458496,3.5277185440063477,5.835299968719482,0.0112245149187986,0.0593192560539057,0.019313624015254,0.0785876675879252,0.0253847755226637,0.6825315318034846,,0.08263303423078017,0.4541453252953422
2016-06-29,9.053136825561523,3.0427606105804443,15.52492332458496,3.5116617679595947,5.835299968719482,0.0110458951330162,0.0574460295502816,0.019313624015254,0.0789470030427259,0.0253847755226637,0.7082592867807969,,0.10478157848184932,0.4222879656158756
2016-06-30,9.375845909118652,3.0171380043029785,15.52492332458496,3.5529487133026123,5.835299968719482,0.0106657042969043,0.0579338816124913,0.019313624015254,0.0780296015087786,0.0253847755226637,0.5876385258613646,,0.1275120271319803,0.403147098340251
2016-07-01,9.577542304992676,3.1452536582946777,15.723368644714355,3.525423765182495,5.835299968719482,0.0104410919644668,0.0555740601362527,0.0190698659258032,0.0786388220951302,0.0253847755226637,0.5166805887731696,,0.11170615691416486,0.40948420915427686
2016-07-04,9.7792329788208,3.161268472671509,15.723368644714355,3.441704034805298,5.835299968719482,0.0102257508555704,0.0552925249661326,0.0190698659258032,0.0805517178341031,0.0253847755226637,0.5511937515975054,,0.04495065351521288,0.4340755029590041
2016-07-05,9.254830360412598,2.9755005836486816,16.052982330322266,3.5747387409210205,5.936299800872803,0.0108051683397405,0.0587445745802869,0.0186783069828908,0.0775539675407724,0.0249528805454825,0.6096512167221586,,-0.049141538133523954,0.41030862662324147
2016-07-06,9.387371063232422,3.0427606105804443,16.052982330322266,3.626347064971924,6.106299877166748,0.0106526096951329,0.0574460295502816,0.0186783069828908,0.0764502589832164,0.0242581895408124,0.6474372806391957,,-0.016898263951691694,0.4021886264592915
2016-07-07,9.231781005859377,3.0619781017303467,16.144229888916016,3.683689832687378,6.1332502365112305,0.0108321460329843,0.0570854885771585,0.0185727367622868,0.0752601833683369,0.0241515956631846,0.6306231136800138,,-0.05764692093256507,0.3675392459613944
2016-07-08,9.32974624633789,3.151660680770874,16.043865203857422,3.630934238433838,6.1332502365112305,0.0107184051269617,0.0554610834270026,0.0186889211637473,0.0763536748601959,0.0241515956631846,0.6464297878308256,,0.031210000608209443,0.3733853025876155
2016-07-11,9.71584415435791,3.3182108402252197,16.128828048706055,3.698598146438598,6.214099884033203,0.0102924664508071,0.052677338591894,0.018590472354917,0.0749568245328522,0.0238373670487591,0.7027095444836426,,0.12775944204262601,0.3874775881797351
2016-07-12,10.194146156311035,3.41109561920166,16.128828048706055,3.6618998050689697,6.114500045776367,0.0098095513313875,0.0512429246972404,0.018590472354917,0.0757080168868544,0.024225656832838,0.6563672751640257,,0.16381588488373966,0.44733277445681896
2016-07-13,10.269058227539062,3.4046897888183594,16.128828048706055,3.625200510025024,6.122300148010254,0.0097379913312619,0.0513393368535058,0.018590472354917,0.0764744381761705,0.0241947921912146,0.6973439916908497,,0.2180449903080257,0.4759088766889961
2016-07-14,9.998215675354004,3.5007762908935547,16.128828048706055,3.660751819610596,6.122300148010254,0.0100017846430842,0.0499302158794105,0.018590472354917,0.0757317583767863,0.0241947921912146,0.7960813968938436,,0.15666679170509767,0.481382610637568
2016-07-15,9.992448806762695,3.5296032428741455,15.95546817779541,3.671074390411377,6.122300148010254,0.0100075568995982,0.0495224261544769,0.0187924621587701,0.0755188107885397,0.0241947921912146,0.8458451654453274,,0.13854217896223098,0.48651887082038936
2016-07-18,10.130755424499512,3.699357271194458,15.840848922729492,3.696305274963379,6.122300148010254,0.0098709322069079,0.0472499688826754,0.0189284383317643,0.0750033213322396,0.0241947921912146,0.7491244124585199,,0.15052382360363348,0.49515146186678005
2016-07-19,9.704317092895508,3.77302360534668,15.840848922729492,3.712360858917236,6.015550136566162,0.0103046921326601,0.0463274376821123,0.0189284383317643,0.0746789395794325,0.0246241451655336,0.9179727339034882,,0.08156695992169483,0.4866006839658529
2016-07-20,9.514150619506836,3.785835742950439,15.962696075439451,3.700892686843872,6.015550136566162,0.0105106597529547,0.0461706549935031,0.0187839529450182,0.0749103515661669,0.0246241451655336,0.9173165228426141,,0.05833329355159189,0.4739869943213564
2016-07-21,10.027026176452637,3.795444965362549,16.016132354736328,3.72268271446228,6.100599765777588,0.0099730466680977,0.0460537611650339,0.0187212820995457,0.0744718778216304,0.0242808552438237,0.8556665673397217,,0.0977917095057903,0.4799480565801173
2016-07-22,9.882959365844728,3.8242692947387695,16.016132354736328,3.699745178222656,6.099249839782715,0.010118426707854,0.0457066441922148,0.0187212820995457,0.0749335856728687,0.0242862292420255,0.9536861502143095,,0.03375529656948606,0.4858255790269937
2016-07-25,10.038552284240724,3.8530967235565186,16.180492401123047,3.6446962356567383,6.069499969482422,0.0099615957728274,0.0453646841723965,0.018531112930523,0.0760653712558779,0.024405269059748,0.9707538866170409,,0.14529907927232255,0.4613633977615041
2016-07-26,10.61481761932373,3.8050522804260254,16.08165168762207,3.612584114074707,6.069499969482422,0.0094207930448051,0.0459374807670886,0.0186450084718268,0.0767415134224878,0.024405269059748,0.8348214891356975,,0.24459472666187043,0.44008974660302413
2016-07-27,10.902953147888184,3.686545610427856,15.855802536010742,3.870626449584961,6.069499969482422,0.009171826994356,0.0474141742490338,0.0189105869145189,0.0716254011827614,0.024405269059748,0.7916490379463943,,0.22380360267433463,0.47182958308609735
2016-07-28,10.972105026245115,3.664125204086304,15.855802536010742,3.9497597217559814,6.172299861907959,0.0091140213988839,0.0477042967186009,0.0189105869145189,0.0701903892414188,0.0239987983616146,0.7037538007103992,,0.21196721508343797,0.503050730153802
2016-07-29,10.66092014312744,3.8018505573272705,15.855802536010742,3.875213623046875,6.172299861907959,0.0093800533778939,0.0459761669518959,0.0189105869145189,0.0715406166595159,0.0239987983616146,0.7496794150706005,,0.13706221779508598,0.5141787109685375
2016-08-01,10.315160751342772,3.6032700538635254,16.188535690307617,3.950906753540039,6.256499767303467,0.0096944684053501,0.0485099682613069,0.0185219057296332,0.0701700114870405,0.0236758227959134,0.8482253058598055,,0.07701542033028486,0.5118707227417773
2016-08-02,10.367025375366213,3.6385011672973633,16.17072105407715,3.8981528282165527,6.256499767303467,0.0096459684797933,0.0480402528164289,0.018542310571926,0.0711196262684674,0.0236758227959134,0.82611948138348,,0.060106186018720864,0.5154818272704078
2016-08-03,10.845322608947754,3.811458587646485,15.960968017578123,3.9130589962005615,6.256499767303467,0.0092205648098929,0.045860268957499,0.0187859866410645,0.0708487075071742,0.0236758227959134,0.6360174795520106,,0.1718553648847485,0.5136580054435548
2016-08-04,10.810749053955078,3.8466906547546382,15.81558322906494,3.894702196121216,6.081099987030029,0.0092500528410115,0.0454402320430382,0.018958676870395,0.0711826369051355,0.0243587147274806,0.6042534632475327,,0.15162690183811,0.5088447853724979
2016-08-05,10.931764602661133,3.731386423110962,15.6736421585083,3.9119973182678223,6.056149959564209,0.0091476539821994,0.0468443886881343,0.0191303673341753,0.0708679351556627,0.0244590673616691,0.6034616715343024,,0.1841447057423462,0.48730300721809183
2016-08-08,10.937528610229492,3.814661264419556,15.6736421585083,3.9315974712371826,6.056149959564209,0.0091428332271033,0.045821766032071,0.0191303673341753,0.0705146379578098,0.0244590673616691,0.6211657161192554,,0.17232862732174392,0.46135200820927064
2016-08-09,10.943288803100586,3.8050522804260254,15.508716583251951,3.9200687408447266,6.024750232696533,0.0091380207357469,0.0459374807670886,0.0193338069173618,0.0707220180583848,0.0245865428593962,0.6462670165326492,,0.12633432867406813,0.4580547956812521
2016-08-10,10.424654006958008,3.7025599479675297,15.407004356384276,3.870491743087769,6.024750232696533,0.0095926445072665,0.047209098139191,0.0194614426673043,0.0716278939944101,0.0245865428593962,0.8238085628067298,,0.022611785932092898,0.45604811441829557
