Real,Previsto
80.9895248413086,61.273400664116295
81.41510009765625,61.08519455488016
81.48458099365234,57.433986962329826
80.12100219726562,57.750183415938295
80.01677703857422,58.021201469551
81.06768035888672,58.134119551480765
81.41510009765625,57.012410302891624
81.63223266601562,57.90074202176379
81.90147399902344,58.38254840509559
82.7699966430664,59.34616466151668
83.5516586303711,59.248301393242244
85.114990234375,59.3687503717571
82.78736877441406,59.49673024685707
82.49207305908203,58.78907374063594
82.08386993408203,57.53185721011917
81.17191314697266,59.16548595910821
77.41990661621094,57.11027357116606
77.25489044189453,56.816669807312934
76.29082489013672,57.47163097598302
76.79457092285156,57.908276408106346
77.05513000488281,58.97728333962952
76.76851654052734,59.014927353282715
75.3875732421875,60.851817025163186
75.30940246582031,61.55026406146398
75.64812469482422,60.362500683790984
77.2983169555664,61.56610058078893
77.46334075927734,60.30706937639623
76.45584869384766,59.90323115409524
75.87393951416016,59.30142946071754
75.5178451538086,58.525419075250554
73.85897064208984,61.874919687140235
73.85897064208984,60.08535461608956
74.10215759277344,61.130582340323144
77.4720230102539,60.30706937639623
77.2983169555664,59.26183816240518
77.55886840820312,57.72566089031106
74.82303619384766,57.35349221690251
74.11084747314453,56.87046441846189
74.78829956054688,56.102379272172286
73.80687713623047,57.92362087163032
73.56367492675781,56.696262705887506
73.86766815185547,57.36141396632243
74.5401382446289,61.35230756990218
72.29452514648438,61.835331878585336
72.56080627441406,60.322909385478624
73.43064880371094,59.3331059891249
74.03421783447266,60.4020884923459
73.41289520263672,60.322909385478624
72.49868774414062,62.072876178702046
70.63472747802734,61.27312497327745
69.82701110839844,60.48127457872806
69.71163940429688,61.72447275355327
70.44833374023438,60.57629718443519
71.46018981933594,60.695074569129716
72.62294006347656,59.8873946347703
71.2649154663086,60.39417023268342
71.28266906738281,60.46543805940313
69.26782989501953,63.323999592704624
68.2470932006836,64.8760133841237
68.12283325195312,66.29341327152328
69.43648529052734,67.21987408033469
73.10224151611328,65.84998375090994
71.54006958007812,66.07169502145916
70.57259368896484,64.86809163470377
69.95128631591797,64.47216469255035
69.116943359375,63.43485871773669
69.71163940429688,61.57401884045139
67.67903900146484,62.445051831625506
66.26777648925781,63.26064653588995
63.87126541137695,62.587580505549994
62.1315803527832,63.30815260410732
62.37123107910156,64.97894726997838
63.69374465942383,63.23690222617489
64.26181030273438,63.23690222617489
61.72328567504883,64.50385169023005
61.243988037109375,62.429211822543095
59.34453582763672,59.689434653451045
61.27949523925781,59.43603987497957
62.104957580566406,61.051396253940965
62.74402618408203,59.45187988406197
61.56352615356445,63.490283045616536
60.36526870727539,63.18938568868515
60.427398681640625,64.91560817219352
61.297237396240234,64.2029508435412
60.036861419677734,65.31152813483202
62.02505874633789,71.4483154737886
62.113826751708984,72.24807016897064
61.43037414550781,71.5591711090632
60.44514846801758,72.08179020581618
59.0782585144043,70.28430687510301
57.73799133300781,69.5637277970308
57.56046676635742,69.73792253009027
58.87411117553711,70.36348249221282
58.43031311035156,70.77523199466138
57.05453872680664,70.33973818249778
56.63737106323242,70.65647554851157
57.83562469482422,73.14286491864706
60.30313873291016,74.14850134456829
59.80607986450195,74.52067001797684
60.0013542175293,75.01160909656502
60.951080322265625,74.94034824936023
60.675926208496094,75.93807688489134
59.57530975341797,73.45958832563105
60.20549774169922,74.28311524858778
61.26173400878906,76.54777938914424
61.74103927612305,74.44939521174223
61.83867645263672,74.73703498010697
61.59902572631836,75.31703964842879
60.01022720336914,75.53951866561782
59.40666961669922,74.35566032653553
59.08713150024414,74.10935324545255
58.4924430847168,74.4112800808328
58.6167106628418,74.80059742236888
59.31791305541992,74.4112800808328
57.44508361816406,74.86415986463079
58.14628219604492,75.49184159928521
57.00128555297851,77.14449301615443
58.78535461425781,76.9855764412273
58.4924430847168,76.89817895555653
57.977638244628906,77.3113452995313
57.56046676635742,77.18420645597766
58.10190200805664,77.3113452995313
57.21430587768555,78.50315330609314
59.096004486083984,79.64729122583728
59.51317596435547,79.72674602354338
60.89781951904297,80.63251955016919
60.89781951904297,80.3703131341271
60.22325134277344,80.7596374551781
59.841583251953125,80.82319989744
59.68181991577149,79.57577213658091
59.81495666503906,79.4804249834306
60.17887878417969,80.44181128483875
61.998435974121094,80.7596374551781
